scenario,method,seed,NMR,MSD,PE,MS_s,FT_drone_s,AU,RID_CR,RTF
01_corridor_crossing,orca,28,0.005555555555555556,1.2941790156533557,1.0,71.0,284.0,0.4,0.0,285195.95330932364
01_corridor_crossing,orca,29,0.005555555555555556,1.2941790156533557,1.0,71.0,284.0,0.4,0.0,269371.1530239219
01_corridor_crossing,orca,3,0.005555555555555556,1.2941790156533557,1.0,71.0,284.0,0.4,0.0,223671.11399085363
01_corridor_crossing,orca,4,0.005555555555555556,1.2941790156533557,1.0,71.0,284.0,0.4,0.0,219282.7504886213
01_corridor_crossing,orca,5,0.005555555555555556,1.2941790156533557,1.0,71.0,284.0,0.4,0.0,232232.5938485685
01_corridor_crossing,orca,6,0.005555555555555556,1.2941790156533557,1.0,71.0,284.0,0.4,0.0,214643.19743549958
01_corridor_crossing,orca,7,0.005555555555555556,1.2941790156533557,1.0,71.0,284.0,0.4,0.0,237683.3792812404
01_corridor_crossing,orca,8,0.005555555555555556,1.2941790156533557,1.0,71.0,284.0,0.4,0.0,260087.79409057245
01_corridor_crossing,orca,9,0.005555555555555556,1.2941790156533557,1.0,71.0,284.0,0.4,0.0,282252.87969702214
01_corridor_crossing,sdacs_hybrid,0,0.005555555555555556,1.2941790156533557,1.0,71.0,284.0,0.4,1.0,185486.1230811419
01_corridor_crossing,sdacs_hybrid,1,0.005555555555555556,1.2941790156533557,1.0,71.0,284.0,0.4,1.0,185498.73914016294
01_corridor_crossing,sdacs_hybrid,10,0.005555555555555556,1.2941790156533557,1.0,71.0,284.0,0.4,1.0,201071.26300541108
01_corridor_crossing,sdacs_hybrid,11,0.005555555555555556,1.2941790156533557,1.0,71.0,284.0,0.4,1.0,206715.49746634718
01_corridor_crossing,sdacs_hybrid,12,0.005555555555555556,1.2941790156533557,1.0,71.0,284.0,0.4,1.0,20197.044611359037
01_corridor_crossing,sdacs_hybrid,13,0.005555555555555556,1.2941790156533557,1.0,71.0,284.0,0.4,1.0,199459.2438520016
01_corridor_crossing,sdacs_hybrid,14,0.005555555555555556,1.2941790156533557,1.0,71.0,284.0,0.4,1.0,185510.40097320816
01_corridor_crossing,sdacs_hybrid,15,0.005555555555555556,1.2941790156533557,1.0,71.0,284.0,0.4,1.0,197132.59690328405
01_corridor_crossing,sdacs_hybrid,16,0.005555555555555556,1.2941790156533557,1.0,71.0,284.0,0.4,1.0,199982.66820015438
01_corridor_crossing,sdacs_hybrid,17,0.005555555555555556,1.2941790156533557,1.0,71.0,284.0,0.4,1.0,188156.39140655438
01_corridor_crossing,sdacs_hybrid,18,0.005555555555555556,1.2941790156533557,1.0,71.0,284.0,0.4,1.0,23265.631208234634
01_corridor_crossing,sdacs_hybrid,19,0.005555555555555556,1.2941790156533557,1.0,71.0,284.0,0.4,1.0,200926.49438940056
01_corridor_crossing,sdacs_hybrid,2,0.005555555555555556,1.2941790156533557,1.0,71.0,284.0,0.4,1.0,202673.944924676
01_corridor_crossing,sdacs_hybrid,20,0.005555555555555556,1.2941790156533557,1.0,71.0,284.0,0.4,1.0,27295.89155961396
01_corridor_crossing,sdacs_hybrid,21,0.005555555555555556,1.2941790156533557,1.0,71.0,284.0,0.4,1.0,200874.02524663068
01_corridor_crossing,sdacs_hybrid,22,0.005555555555555556,1.2941790156533557,1.0,71.0,284.0,0.4,1.0,200269.91932535282
01_corridor_crossing,sdacs_hybrid,23,0.005555555555555556,1.2941790156533557,1.0,71.0,284.0,0.4,1.0,195162.1472007782
01_corridor_crossing,sdacs_hybrid,24,0.005555555555555556,1.2941790156533557,1.0,71.0,284.0,0.4,1.0,200229.3738736828
01_corridor_crossing,sdacs_hybrid,25,0.005555555555555556,1.2941790156533557,1.0,71.0,284.0,0.4,1.0,195142.8933783331
01_corridor_crossing,sdacs_hybrid,26,0.005555555555555556,1.2941790156533557,1.0,71.0,284.0,0.4,1.0,199814.17281541455
01_corridor_crossing,sdacs_hybrid,27,0.005555555555555556,1.2941790156533557,1.0,71.0,284.0,0.4,1.0,198888.4346347503
01_corridor_crossing,sdacs_hybrid,28,0.005555555555555556,1.2941790156533557,1.0,71.0,284.0,0.4,1.0,195697.4821493902
01_corridor_crossing,sdacs_hybrid,29,0.005555555555555556,1.2941790156533557,1.0,71.0,284.0,0.4,1.0,137057.5421057256
01_corridor_crossing,sdacs_hybrid,3,0.005555555555555556,1.2941790156533557,1.0,71.0,284.0,0.4,1.0,35913.69221388748
01_corridor_crossing,sdacs_hybrid,4,0.005555555555555556,1.2941790156533557,1.0,71.0,284.0,0.4,1.0,187859.0847824864
