AU,FT_drone_s,LAANC_latency_ms,MSD,MS_s,NMR,PE,RID_CR,RTF,TTC_mean_s,TTC_median_s,TTC_p5_s,TTC_p95_s,VCU_handoff_rate,VCU_mean_occupancy,geofence_violations,method,n_agents,peak_memory_mb,scenario,seed,tick_p50_ms,tick_p95_ms,tick_p99_ms
0.46840277777777783,1338.0,nan,33.44614308399234,240.0,0.0,0.9199213892390862,0.0,1053.5560096536847,nan,nan,nan,nan,nan,nan,0.0,vo,12,nan,06_priority_aircraft,16,0.24844699998993747,6.377894500064939,8.484245499953431
0.5506944444444445,1575.0,nan,21.825504437066844,240.0,0.0,0.9031120715967643,0.0,906.8361057686567,nan,nan,nan,nan,nan,nan,0.0,vo,12,nan,06_priority_aircraft,17,0.3438749999986612,6.559983500051203,8.917023839981066
0.49895833333333334,1426.0,nan,47.1158334184728,240.0,0.0,0.9276237615232725,0.0,1020.0834757261264,nan,nan,nan,nan,nan,nan,0.0,vo,12,nan,06_priority_aircraft,18,0.28705300002229706,5.925963250030005,8.41510758001959
0.525,1502.0,nan,26.29934052987473,240.0,0.0,0.9192611490431014,0.0,977.9099115165645,nan,nan,nan,nan,nan,nan,0.0,vo,12,nan,06_priority_aircraft,19,0.28241299997944225,6.3946455499319645,7.08071318995734
0.5392361111111111,1543.0,nan,19.36658550712253,240.0,0.0,0.9223575135406573,0.0,835.9397936099575,nan,nan,nan,nan,nan,nan,0.0,vo,12,nan,06_priority_aircraft,2,0.2560274999723333,7.620477950086977,10.52350269002659
0.45451388888888894,1298.0,nan,21.058431399400497,240.0,0.0,0.8888279741999962,0.0,1095.591599606058,nan,nan,nan,nan,nan,nan,0.0,vo,12,nan,06_priority_aircraft,20,0.22592100003748783,5.391417299983898,8.459262120034055
0.4444444444444444,1269.0,nan,16.050629962437114,240.0,0.0,0.9225983162500344,0.0,1089.029781914946,nan,nan,nan,nan,nan,nan,0.0,vo,12,nan,06_priority_aircraft,21,0.22073600001704108,6.483744799925257,8.433674800004383
0.4430555555555556,1266.0,nan,23.897513549020584,240.0,0.0,0.8930686303855601,0.0,1187.9166837410953,nan,nan,nan,nan,nan,nan,0.0,vo,12,nan,06_priority_aircraft,22,0.14412399997354441,4.5622150000156125,6.9590087800179266
0.4635416666666667,1323.0,nan,68.47541201645838,186.0,0.0,0.8917958269137077,0.0,1228.8802968080743,nan,nan,nan,nan,nan,nan,0.0,vo,12,nan,06_priority_aircraft,23,0.2131510000253911,4.509846549967733,6.533584680003059
0.5822916666666667,1668.0,nan,19.46915935888139,240.0,0.0,0.8598606909121508,0.0,799.7178302267797,nan,nan,nan,nan,nan,nan,0.0,vo,12,nan,06_priority_aircraft,24,0.2948024999795962,8.170350550028616,9.065773940011455
0.4982638888888888,1424.0,nan,43.943614511578616,240.0,0.0,0.9579968972276321,0.0,1198.2322898409832,nan,nan,nan,nan,nan,nan,0.0,vo,12,nan,06_priority_aircraft,25,0.2623469999889494,4.463764049978636,7.497100049973821
0.48194444444444445,1377.0,nan,22.532205521249285,240.0,0.0,0.9093212094496588,0.0,1042.2368525542574,nan,nan,nan,nan,nan,nan,0.0,vo,12,nan,06_priority_aircraft,26,0.21533099993575888,6.498529550054854,8.523098109990315
0.5163194444444446,1475.0,nan,20.43606045312275,169.0,0.0,0.9736565477971603,0.0,1166.5683727500357,nan,nan,nan,nan,nan,nan,0.0,vo,12,nan,06_priority_aircraft,27,0.27326250005899055,4.562428999918204,6.442618530027174
0.6375000000000001,1826.0,nan,32.002954162938984,240.0,0.0,0.9385712552522433,0.0,774.8825064218227,nan,nan,nan,nan,nan,nan,0.0,vo,12,nan,06_priority_aircraft,28,0.3770949999761797,5.759357399966798,10.449121799954355
0.5413194444444444,1549.0,nan,37.589224587605955,240.0,0.0,0.9175378221779912,0.0,857.3892095597434,nan,nan,nan,nan,nan,nan,0.0,vo,12,nan,06_priority_aircraft,29,0.2670229999921503,7.4490515499405765,10.350765799986448
0.5041666666666667,1440.0,nan,9.703234607879638,155.0,0.0,0.9689748253504459,0.0,1138.1852933027008,nan,nan,nan,nan,nan,nan,0.0,vo,12,nan,06_priority_aircraft,3,0.3279339999835429,6.169233049973854,6.489650000013398
0.5489583333333332,1570.0,nan,25.22258374869535,240.0,0.0,0.8260213859880162,0.0,969.7535366939643,nan,nan,nan,nan,nan,nan,0.0,vo,12,nan,06_priority_aircraft,4,0.30653350000875434,4.370957650058925,6.562786950017878
0.5923611111111112,1695.0,nan,18.74790227552534,240.0,0.0,0.9402439778729589,0.0,980.6213009817043,nan,nan,nan,nan,nan,nan,0.0,vo,12,nan,06_priority_aircraft,5,0.40247700002282727,5.094519749991374,7.117831059986188
0.585763888888889,1678.0,nan,19.996382145581315,240.0,0.0,0.9090592793120175,0.0,803.6094923959956,nan,nan,nan,nan,nan,nan,0.0,vo,12,nan,06_priority_aircraft,6,0.29626800005644327,8.174697350079892,10.103452070025
0.5204861111111111,1488.0,nan,7.104437416148125,240.0,0.0,0.9406691072182772,0.0,833.9000147212274,nan,nan,nan,nan,nan,nan,0.0,vo,12,nan,06_priority_aircraft,7,0.20710649999955422,8.310775599943552,9.40891621993386
0.46770833333333334,1335.0,nan,31.922073714315427,168.0,0.0,0.9058875465777231,0.0,914.5952830131646,nan,nan,nan,nan,nan,nan,0.0,vo,12,nan,06_priority_aircraft,8,0.22041599999056416,7.5188979499443915,9.14302228001587
0.5788194444444446,1657.0,nan,54.77357807196431,240.0,0.0,0.8934195446502006,0.0,1056.3679384456752,nan,nan,nan,nan,nan,nan,0.0,vo,12,nan,06_priority_aircraft,9,0.3496699999914199,4.5738696000057635,6.480971539994015
0.25166666666666665,882.0,nan,22.630522904696743,117.0,0.0,1.0,0.0,20687.022927024664,nan,nan,nan,nan,nan,nan,0.0,cbs,12,nan,07_communication_loss,0,0.0005499999815583578,0.008349999916390516,0.009960999932445702
0.26555555555555554,932.0,nan,19.04662713022297,106.0,0.0,0.9999999999999999,0.0,19285.520328576724,nan,nan,nan,nan,nan,nan,0.0,cbs,12,nan,07_communication_loss,1,0.00039999997625272954,0.009450999982618669,0.011231000030420546
0.2630555555555556,923.0,nan,27.574336914730996,111.0,0.0,1.0,0.0,31230.71503333098,nan,nan,nan,nan,nan,nan,0.0,cbs,12,nan,07_communication_loss,10,0.0004199999921183917,0.008540999942852068,0.017260999925383658
0.23722222222222225,830.0,nan,20.492273417884896,117.0,0.0,1.0,0.0,25878.77192809338,nan,nan,nan,nan,nan,nan,0.0,cbs,12,nan,07_communication_loss,11,0.00038999996831989847,0.008529999945494637,0.0204900001108399
0.2938888888888889,1034.0,nan,15.114924971620987,122.0,0.0,1.0,0.0,17301.9919667049,nan,nan,nan,nan,nan,nan,0.0,cbs,12,nan,07_communication_loss,12,0.00041000009787239833,0.009180999995805905,0.011139999969600467
0.2697222222222222,947.0,nan,19.876755856299127,110.0,0.0,1.0,0.0,32552.37650250191,nan,nan,nan,nan,nan,nan,0.0,cbs,12,nan,07_communication_loss,13,0.00039999997625272954,0.008139999977174739,0.015279999956874235
0.26944444444444443,946.0,nan,25.970905019326395,101.0,0.0,1.0,0.0,46195.98399818421,nan,nan,nan,nan,nan,nan,0.0,cbs,12,nan,07_communication_loss,14,0.0004500000159168849,0.008869999987837218,0.011060000019824656
0.25861111111111107,907.0,nan,19.358090089752476,110.0,0.0,1.0,0.0,18324.172570405382,nan,nan,nan,nan,nan,nan,0.0,cbs,12,nan,07_communication_loss,15,0.0004099999841855606,0.009241000043402892,0.019440999949438265
