agents_finished,agents_total,horizon_s,method,scenario,seed,tick_count,wall_clock_s
16,16,240.0,orca,02_dense_intersection,26,240,0.00970198100003472
16,16,240.0,orca,02_dense_intersection,27,240,0.012878589000024476
16,16,240.0,orca,02_dense_intersection,28,240,0.007013025999981437
16,16,240.0,orca,02_dense_intersection,29,240,0.0076725939999278125
16,16,240.0,orca,02_dense_intersection,3,240,0.00973051099992972
16,16,240.0,orca,02_dense_intersection,4,240,0.005579950000083045
16,16,240.0,orca,02_dense_intersection,5,240,0.007763049000004685
16,16,240.0,orca,02_dense_intersection,6,240,0.017007293999995454
16,16,240.0,orca,02_dense_intersection,7,240,0.009730870999987928
16,16,240.0,orca,02_dense_intersection,8,240,0.0076315029999705075
16,16,240.0,orca,02_dense_intersection,9,240,0.008493836999946325
16,16,240.0,sdacs_hybrid,02_dense_intersection,0,240,0.0546245740000586
16,16,240.0,sdacs_hybrid,02_dense_intersection,1,240,0.05059896199998093
16,16,240.0,sdacs_hybrid,02_dense_intersection,10,240,0.05611633000000893
16,16,240.0,sdacs_hybrid,02_dense_intersection,11,240,0.05000359500002105
16,16,240.0,sdacs_hybrid,02_dense_intersection,12,240,0.07637130099999467
16,16,240.0,sdacs_hybrid,02_dense_intersection,13,240,0.06385774099999253
16,16,240.0,sdacs_hybrid,02_dense_intersection,14,240,0.10954957499995999
16,16,240.0,sdacs_hybrid,02_dense_intersection,15,240,0.08605479999994259
16,16,240.0,sdacs_hybrid,02_dense_intersection,16,240,0.12391471700004786
16,16,240.0,sdacs_hybrid,02_dense_intersection,17,240,0.08823484099991674
16,16,240.0,sdacs_hybrid,02_dense_intersection,18,240,0.09362323100003778
16,16,240.0,sdacs_hybrid,02_dense_intersection,19,240,0.08465811099995335
16,16,240.0,sdacs_hybrid,02_dense_intersection,2,240,0.056468504999998004
16,16,240.0,sdacs_hybrid,02_dense_intersection,20,240,0.07160823799995342
16,16,240.0,sdacs_hybrid,02_dense_intersection,21,240,0.06243187100005798
16,16,240.0,sdacs_hybrid,02_dense_intersection,22,240,0.04456289300003391
16,16,240.0,sdacs_hybrid,02_dense_intersection,23,240,0.08246363299997483
16,16,240.0,sdacs_hybrid,02_dense_intersection,24,240,0.062213925999913045
16,16,240.0,sdacs_hybrid,02_dense_intersection,25,240,0.06309553999994932
16,16,240.0,sdacs_hybrid,02_dense_intersection,26,240,0.060262028000011014
16,16,240.0,sdacs_hybrid,02_dense_intersection,27,240,0.0692735630000243
16,16,240.0,sdacs_hybrid,02_dense_intersection,28,240,0.07758418399998845
16,16,240.0,sdacs_hybrid,02_dense_intersection,29,240,0.06656674099997417
16,16,240.0,sdacs_hybrid,02_dense_intersection,3,240,0.091577314999995
16,16,240.0,sdacs_hybrid,02_dense_intersection,4,240,0.0932538750000731
16,16,240.0,sdacs_hybrid,02_dense_intersection,5,240,0.06727512600002683
16,16,240.0,sdacs_hybrid,02_dense_intersection,6,240,0.07280140099999244
16,16,240.0,sdacs_hybrid,02_dense_intersection,7,240,0.06087892199991529
16,16,240.0,sdacs_hybrid,02_dense_intersection,8,240,0.0745839190000197
16,16,240.0,sdacs_hybrid,02_dense_intersection,9,240,0.062281686999995145
14,16,240.0,vo,02_dense_intersection,0,240,0.3632180020000533
16,16,240.0,vo,02_dense_intersection,1,240,0.29273796600000423
15,16,240.0,vo,02_dense_intersection,10,240,0.36713695099990673
16,16,240.0,vo,02_dense_intersection,11,240,0.2714855680000028
15,16,240.0,vo,02_dense_intersection,12,240,0.3816036149999036
15,16,240.0,vo,02_dense_intersection,13,240,0.43592268500003684
16,16,240.0,vo,02_dense_intersection,14,240,0.44612243300002774
15,16,240.0,vo,02_dense_intersection,15,240,0.4836526529999219
15,16,240.0,vo,02_dense_intersection,16,240,0.41923303400005807
15,16,240.0,vo,02_dense_intersection,17,240,0.3432504690000542
15,16,240.0,vo,02_dense_intersection,18,240,0.3575242969999408
14,16,240.0,vo,02_dense_intersection,19,240,0.3618452680000246
16,16,240.0,vo,02_dense_intersection,2,240,0.2957789409999805
14,16,240.0,vo,02_dense_intersection,20,240,0.33139318399992135
16,16,240.0,vo,02_dense_intersection,21,240,0.31496336600002905
14,16,240.0,vo,02_dense_intersection,22,240,0.3148921929999915
15,16,240.0,vo,02_dense_intersection,23,240,0.33131462099993314
14,16,240.0,vo,02_dense_intersection,24,240,0.41465084200001456
15,16,240.0,vo,02_dense_intersection,25,240,0.3799528349999264
14,16,240.0,vo,02_dense_intersection,26,240,0.3798488150000594
13,16,240.0,vo,02_dense_intersection,27,240,0.4736921889999621
16,16,240.0,vo,02_dense_intersection,28,240,0.41894498600004226
12,16,240.0,vo,02_dense_intersection,29,240,0.49367254000003413
14,16,240.0,vo,02_dense_intersection,3,240,0.3564275920000455
15,16,240.0,vo,02_dense_intersection,4,240,0.2961741909999773
14,16,240.0,vo,02_dense_intersection,5,240,0.42689853900003527
15,16,240.0,vo,02_dense_intersection,6,240,0.3664972529999204
14,16,240.0,vo,02_dense_intersection,7,240,0.44534472099996947
15,16,240.0,vo,02_dense_intersection,8,240,0.31229915100004746
14,16,240.0,vo,02_dense_intersection,9,240,0.4284496370000852
8,8,180.0,cbs,03_emergency_landing,0,181,0.02272071799995956
8,8,180.0,cbs,03_emergency_landing,1,181,0.011916830999894046
8,8,180.0,cbs,03_emergency_landing,10,181,0.022890358000040578
8,8,180.0,cbs,03_emergency_landing,11,181,0.016307478000044284
8,8,180.0,cbs,03_emergency_landing,12,181,0.012748935999979949
8,8,180.0,cbs,03_emergency_landing,13,181,0.023865499999942585
8,8,180.0,cbs,03_emergency_landing,14,181,0.012059877000069719
8,8,180.0,cbs,03_emergency_landing,15,181,0.01498910700001943
8,8,180.0,cbs,03_emergency_landing,16,181,0.009836165000024266
8,8,180.0,cbs,03_emergency_landing,17,181,0.0156383859999778
8,8,180.0,cbs,03_emergency_landing,18,181,0.0195647259999987
8,8,180.0,cbs,03_emergency_landing,19,181,0.019870845000014015
8,8,180.0,cbs,03_emergency_landing,2,181,0.02958061499998621
8,8,180.0,cbs,03_emergency_landing,20,181,0.009782632999986163
8,8,180.0,cbs,03_emergency_landing,21,181,0.009803393999959553
8,8,180.0,cbs,03_emergency_landing,22,181,0.012184659000013198
8,8,180.0,cbs,03_emergency_landing,23,181,0.007603052000035859
8,8,180.0,cbs,03_emergency_landing,24,181,0.00993851700002324
8,8,180.0,cbs,03_emergency_landing,25,181,0.011121250999963195
8,8,180.0,cbs,03_emergency_landing,26,181,0.011098960000026636
8,8,180.0,cbs,03_emergency_landing,27,181,0.0103512389999878
8,8,180.0,cbs,03_emergency_landing,28,181,0.009792632999960915
8,8,180.0,cbs,03_emergency_landing,29,181,0.022604999999998654
8,8,180.0,cbs,03_emergency_landing,3,181,0.02248549199998706
8,8,180.0,cbs,03_emergency_landing,4,181,0.014508419999970101
8,8,180.0,cbs,03_emergency_landing,5,181,0.015838971999983187
8,8,180.0,cbs,03_emergency_landing,6,181,0.017071751999992557
8,8,180.0,cbs,03_emergency_landing,7,181,0.014930505999927846
8,8,180.0,cbs,03_emergency_landing,8,181,0.01711101199998666
8,8,180.0,cbs,03_emergency_landing,9,181,0.015598055000054956
8,8,180.0,orca,03_emergency_landing,0,180,0.0007240600000386621
8,8,180.0,orca,03_emergency_landing,1,180,0.0037071829999604233
8,8,180.0,orca,03_emergency_landing,10,180,0.008757823999985703
8,8,180.0,orca,03_emergency_landing,11,180,0.005030219999980545
8,8,180.0,orca,03_emergency_landing,12,180,0.006022837999921649
8,8,180.0,orca,03_emergency_landing,13,180,0.00070490999996764
8,8,180.0,orca,03_emergency_landing,14,180,0.0006221969999842258
8,8,180.0,orca,03_emergency_landing,15,180,0.00987197599999945
8,8,180.0,orca,03_emergency_landing,16,180,0.006950971000037498
8,8,180.0,orca,03_emergency_landing,17,180,0.0010088479999694755
8,8,180.0,orca,03_emergency_landing,18,180,0.0006907990000399877
8,8,180.0,orca,03_emergency_landing,19,180,0.0006837689999201757
8,8,180.0,orca,03_emergency_landing,2,180,0.0037533820000135165
8,8,180.0,orca,03_emergency_landing,20,180,0.0006053270000165867
8,8,180.0,orca,03_emergency_landing,21,180,0.0007515309999917008
8,8,180.0,orca,03_emergency_landing,22,180,0.0006277480000562718
8,8,180.0,orca,03_emergency_landing,23,180,0.0068438770000511795
8,8,180.0,orca,03_emergency_landing,24,180,0.0006265670000402679
8,8,180.0,orca,03_emergency_landing,25,180,0.0006875699999682183
8,8,180.0,orca,03_emergency_landing,26,180,0.0006793290000359775
8,8,180.0,orca,03_emergency_landing,27,180,0.0067206069999201645
