AU,FT_drone_s,LAANC_latency_ms,MSD,MS_s,NMR,PE,RID_CR,RTF,TTC_mean_s,TTC_median_s,TTC_p5_s,TTC_p95_s,VCU_handoff_rate,VCU_mean_occupancy,geofence_violations,method,peak_memory_mb,scenario,seed,tick_p50_ms,tick_p95_ms,tick_p99_ms,wall_clock_seconds
1.0,537.0,98.22085459722318,15.801662182306725,83.0,0.0,0.9945470373685698,1.0,26522.73661565635,15.58978593479311,13.406840603103827,1.5341370534290721,31.688311476421166,0.044444444444444446,2.0148148148148146,0.0,sdacs_hybrid,nan,03_emergency_landing,44,0.0408660002904071,0.099286499835216,0.12094058996353853,0.0067866300000787305
0.4395833333333333,627.0,nan,16.762640642921927,180.0,0.0,0.8527213330209729,0.0,10598.333011954997,nan,nan,nan,nan,nan,nan,0.0,vo,nan,03_emergency_landing,42,0.053391000164992874,0.22771554995415497,0.24982029995499033,0.01698380299967539
0.6173611111111111,884.0,nan,16.30742612542378,180.0,0.0,0.7337979891864466,0.0,7288.772880397404,nan,nan,nan,nan,nan,nan,0.0,vo,nan,03_emergency_landing,43,0.08184750004147645,0.25414055012333836,0.32790269989163795,0.02469551500007583
0.48333333333333334,689.0,nan,10.843420154308959,180.0,0.0,0.8947281212589685,0.0,8993.570047007193,nan,nan,nan,nan,nan,nan,0.0,vo,nan,03_emergency_landing,44,0.0340760000199225,0.25400750023436536,0.47573191001447446,0.020014299000195024
0.28958333333333336,540.0,nan,18.731146568297817,98.0,0.0,1.0,0.0,40242.217907943945,nan,nan,nan,nan,nan,nan,0.0,cbs,nan,04_no_fly_zone,42,0.00029000011636526324,0.005160000000614673,0.01650859976507483,0.005963886000245111
0.3453125,647.0,nan,12.016789470183635,105.0,0.0,0.9999999999999998,0.0,37803.22915098331,nan,nan,nan,nan,nan,nan,0.0,cbs,nan,04_no_fly_zone,43,0.00029000011636526324,0.006060000032448443,0.009078000039153255,0.0063486640001428896
0.41041666666666665,772.0,nan,11.022106511293652,122.0,0.0,1.0,0.0,41670.83375196421,nan,nan,nan,nan,nan,nan,0.0,cbs,nan,04_no_fly_zone,44,0.0011100000847363845,0.005789999704575166,0.019072999930358468,0.005759423999734281
0.290625,550.0,nan,18.150101609278664,99.0,0.0,1.0,0.0,304823.062925761,nan,nan,nan,nan,nan,nan,0.0,orca,nan,04_no_fly_zone,42,0.0003199997991032433,0.007776500137879336,0.013386400050876468,0.000787341999966884
0.3458333333333333,656.0,nan,13.04244597496162,107.0,0.0,0.9999999999999999,0.0,281804.5825646209,nan,nan,nan,nan,nan,nan,0.0,orca,nan,04_no_fly_zone,43,0.0003000000106112566,0.008592550079811188,0.010274089954691588,0.0008516540001437534
0.41041666666666665,780.0,nan,9.944444901194721,123.0,0.0,1.0,0.0,236824.65495766548,nan,nan,nan,nan,nan,nan,0.0,orca,nan,04_no_fly_zone,44,0.0015450000319106039,0.008831049854052253,0.01076579990240133,0.0010134080002899282
1.0,571.0,100.16578654046012,18.438754767584363,102.0,0.0,0.9911337544350289,1.0,27651.005598189764,20.030195212167577,20.03019573838412,2.030193633518023,38.03019573838406,0.03333333333333333,2.058333333333333,0.0,sdacs_hybrid,nan,04_no_fly_zone,42,0.012775499953932012,0.10078244997657743,0.14711381016240893,0.008679611999923509
1.0,684.0,96.15225271578538,9.327400360364658,114.0,0.0,0.9878297883944592,1.0,24890.871677408908,35.09604622713416,36.057012552193,3.7086537521571015,57.58024093890988,0.03333333333333333,2.0,0.0,sdacs_hybrid,nan,04_no_fly_zone,43,0.04894599987892434,0.1096974999654776,0.14866219987197826,0.009642088999953558
1.0,794.0,98.22085459722318,17.148018107290227,124.0,0.0,0.9968894000281887,1.0,24186.21694009267,23.638104933538404,23.361022546379836,3.25312926439864,44.992868949651594,0.03333333333333333,2.011111111111111,0.0,sdacs_hybrid,nan,04_no_fly_zone,44,0.048801000048115384,0.1033854999604955,0.15944100991418933,0.009923006999997597
0.46927083333333336,895.0,nan,13.733465399013339,240.0,0.0,0.8351390016203835,0.0,10165.09469132762,nan,nan,nan,nan,nan,nan,0.0,vo,nan,04_no_fly_zone,42,0.05147150000084366,0.22102749974237668,0.24733930009460886,0.023610207999809063
0.4114583333333333,782.0,nan,15.357008124996312,147.0,0.0,0.9295322997789506,0.0,11395.753287073858,nan,nan,nan,nan,nan,nan,0.0,vo,nan,04_no_fly_zone,43,0.05099200006952742,0.23056750019350145,0.24978000009014062,0.021060476999991806
0.4427083333333333,842.0,nan,24.62723729720151,125.0,0.0,0.9651888678430467,0.0,10236.076334699868,nan,nan,nan,nan,nan,nan,0.0,vo,nan,04_no_fly_zone,44,0.062141999706000206,0.23725099963485263,0.27968399997462257,0.02344648399957805
0.24722222222222223,866.0,nan,22.449967579930018,113.0,0.0,1.0,0.0,46975.52762920915,nan,nan,nan,nan,nan,nan,0.0,cbs,nan,05_weather_diversion,42,0.00038999996831989847,0.00794000015957863,0.021411000034277095,0.0063863039999887405
0.26388888888888884,926.0,nan,12.090487613250636,135.0,0.0,0.9999999999999999,0.0,49619.91968562314,nan,nan,nan,nan,nan,nan,0.0,cbs,nan,05_weather_diversion,43,0.00041000021155923605,0.00825000006443588,0.013700000181415817,0.006045958999948198
0.29055555555555557,1022.0,nan,11.054412043868766,122.0,0.0,1.0,0.0,49012.103864954755,nan,nan,nan,nan,nan,nan,0.0,cbs,nan,05_weather_diversion,44,0.0003800000740739051,0.00802000022304128,0.0107009996099805,0.006120937000105187
0.24805555555555558,881.0,nan,21.967507391690887,115.0,0.0,1.0,0.0,265585.2037203043,nan,nan,nan,nan,nan,nan,0.0,orca,nan,05_weather_diversion,42,0.0003800000740739051,0.011050050011363055,0.015079009790497358,0.0011295809999865014
0.265,942.0,nan,13.33387645522207,137.0,0.0,1.0,0.0,252399.26529061075,nan,nan,nan,nan,nan,nan,0.0,orca,nan,05_weather_diversion,43,0.00038999996831989847,0.010654550146682597,0.015624799993929614,0.0011885930002790701
0.291388888888889,1037.0,nan,11.89084976472706,123.0,0.0,1.0,0.0,229057.2918232319,nan,nan,nan,nan,nan,nan,0.0,orca,nan,05_weather_diversion,44,0.00038999996831989847,0.011812000161626202,0.020285999921725282,0.0013097159999233554
1.0,918.0,100.32547425153894,22.20660327377898,119.0,0.0,0.9940891696242455,1.0,18170.903525313475,20.03019517459851,20.03019573838412,2.0301934832417583,38.03019573838406,0.04,3.0,0.0,sdacs_hybrid,nan,05_weather_diversion,42,0.020850500050073606,0.1506169498952659,0.24445072995149444,0.016509911000412103
1.0,1001.0,95.96996378433244,9.422078875288141,145.0,0.0,0.984396713086478,1.0,22161.584842868684,38.290897814795564,55.06836034222947,3.3060366001846795,57.58025541213479,0.04,3.0,0.0,sdacs_hybrid,nan,05_weather_diversion,43,0.05506699994839437,0.12234550022185432,0.17329822984265733,0.013536938000015653
1.0,1082.0,106.17538192463502,18.345257767738232,124.0,0.0,0.9891136973212462,1.0,25115.02051574819,23.604932546956196,25.06957313838373,4.5626158245453325,45.511902719510566,0.04,3.01,0.0,sdacs_hybrid,nan,05_weather_diversion,44,0.013390500043897191,0.11292654978660722,0.1669705000722388,0.011945042999741418
0.2866666666666667,1020.0,nan,16.607233267837827,131.0,0.0,0.9258735238293063,0.0,7578.148902680056,nan,nan,nan,nan,nan,nan,0.0,vo,nan,05_weather_diversion,42,0.00258999989455333,0.46404604977396957,0.5069615898082701,0.0395875040003375
0.3919444444444445,1401.0,nan,26.400451445185503,300.0,0.0,0.8682421707657356,0.0,5740.942605769367,nan,nan,nan,nan,nan,nan,0.0,vo,nan,05_weather_diversion,43,0.07613200023115496,0.43913505014643306,0.4625727000438927,0.052256226999816136
0.48805555555555563,1748.0,nan,30.183367950886158,300.0,0.0,0.8214409473162428,0.0,4583.710750991542,nan,nan,nan,nan,nan,nan,0.0,vo,nan,05_weather_diversion,44,0.12245800007804064,0.46948849962973327,0.5038263002370513,0.06544915599988599
0.40937499999999993,1155.0,nan,34.42637561894815,152.0,0.0,1.0,0.0,37808.29712504133,nan,nan,nan,nan,nan,nan,0.0,cbs,nan,06_priority_aircraft,42,0.0033999999686784577,0.008649999927001772,0.0189889999091974,0.0063478130000476085
0.4388888888888889,1240.0,nan,15.326960861083467,181.0,0.0,1.0,0.0,38400.7741603609,nan,nan,nan,nan,nan,nan,0.0,cbs,nan,06_priority_aircraft,43,0.004649999937100802,0.00873099997988902,0.018062400158669268,0.006249873999877309
0.4826388888888889,1366.0,nan,15.608363807024062,162.0,0.0,1.0,0.0,35792.9716616626,nan,nan,nan,nan,nan,nan,0.0,cbs,nan,06_priority_aircraft,44,0.004660999820771394,0.00949100012803683,0.020964000032108715,0.006705227000111336
0.4111111111111111,1172.0,nan,33.667641497966045,153.0,0.0,1.0,0.0,169072.42637296137,nan,nan,nan,nan,nan,nan,0.0,orca,nan,06_priority_aircraft,42,0.004214999989926582,0.011592949749683612,0.01911860986638196,0.001419510000232549
0.4399305555555556,1255.0,nan,14.897223513452639,182.0,0.0,1.0,0.0,152974.10337309277,nan,nan,nan,nan,nan,nan,0.0,orca,nan,06_priority_aircraft,43,0.006125000027168426,0.012155500166954878,0.02614750997963703,0.0015688930002397683
0.4833333333333333,1380.0,nan,16.697116824256067,164.0,0.0,1.0,0.0,148907.85394967755,nan,nan,nan,nan,nan,nan,0.0,orca,nan,06_priority_aircraft,44,0.005959999953120132,0.012547500273285545,0.02310999980181805,0.0016117350000968145
1.0,1228.0,100.32547425153894,35.139526480150785,157.0,0.0,0.9876872964004008,1.0,17246.36241921927,30.762483206734416,30.76248320673441,8.262483206734522,53.262483206734316,0.05,3.0,0.0,sdacs_hybrid,nan,06_priority_aircraft,42,0.05861099998583086,0.12298400024519648,0.17704029992728462,0.013915977999658935
1.0,1306.0,95.96996378433244,15.53724002321999,188.0,0.0,0.990922165625975,1.0,15383.386685724663,22.799750552646884,19.582207928875892,1.3697818109209932,51.88157229181291,0.05,3.0,0.0,sdacs_hybrid,nan,06_priority_aircraft,43,0.06056199981685495,0.13431449974632415,0.18775111006561887,0.01560124600018753
1.0,1432.0,106.17538192463502,22.079565085035743,170.0,0.0,0.9904712104340246,1.0,16666.376162358396,29.592600645197656,29.84493524582853,1.0866317935122034,59.04604748842439,0.05,3.0166666666666666,0.0,sdacs_hybrid,nan,06_priority_aircraft,44,0.05950199988546956,0.1305949996549316,0.21138700013580092,0.014400251000097342
